date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0001AI1000;313335;313335;313335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00072;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;276;
00ga;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;5614;
014ms;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;122257;
01Ab;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;51724;
01ympus;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;3831;
021ESA;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;754801;
03ODIN;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;1085970;
05_buddy;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;22363;
0686;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;
07H;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;709;
07stevenator;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;658071;
0987578687500;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;26247;
0asisfrosty;102289;102289;102289;102289;102289;0;0;0;102289;102289;0;0;102289;0;0;102289;102289;102289;0;102289;102289;102289;102289;102289;102289;102289;102289;102289;102289;102289;
0Avenir;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;58451;
0b3lus;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;2990;
0bzi;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;791449;
0Deemo;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;
0eggs;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;5960;
0HeyCat0;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;7910;
0hSorry;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;10049;
0js;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;373;
0L8;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;29209;0;0;0;29209;
0ll0;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;797640;
0lli3;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;1563;
0lliz;1491765;1491765;1619765;1619765;1619765;1619765;1619765;1619765;1619765;1619765;1619765;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;1645365;
0Lux_;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
0mf;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;124007;
0oLightningo0;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;21192;
0oLiu_Xino0;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;1575;
0r33;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;2360;
0R4C13;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;9218;
0Salty;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;35126;
0T1S;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;
0TryHard;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;58652;
0TY1;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;84807;
0w_;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;3665;
0X1X;51465;51465;51465;51465;51465;51465;51467;51478;51507;51507;51508;51508;51508;51548;51557;51557;51557;51557;51557;51557;51557;51800;51803;51803;51803;51803;51803;51803;51803;51803;
0xGB;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;206;
0xyg3ns;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;9435;
0zum;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;39796;
0__Doom__0;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;
0___w___o;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1181;1182;
1000km;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;
100mDirt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;3112;10157;10157;10157;10157;10157;10157;10157;10157;10157;
100mSpoon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100_stars;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;890;
101moon_YT;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;112;
10247;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;146938;
10flame12;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;
111robloxdude;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;19623;
114EXP;3869;3869;3869;3869;3869;3869;3869;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;3882;
115z3;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;1239;
11oyd;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;795230;
11percentgay;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;173;NoFoundByTheAPI;173;173;173;173;
1203Chris;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;29;29;29;29;29;29;29;
1234abc2;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;
123abcooooooooo;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;780182;
123ian;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;
123revive;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;11376;
123_WILL;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;119;
125man29;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;832070;
12cats;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;662462;
12derka;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;196573;
12mike34;971047;971047;971047;971047;971047;971062;971062;971062;971062;971092;971092;971092;971092;971092;971092;971092;971092;971092;971092;971114;971114;971114;971114;971114;971114;971114;971114;971114;971114;971114;
12Patata21;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;
12steeler;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;666325;
1314jayden;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;60298;
132465798;875877;875877;884709;884709;884709;898173;898173;898173;906947;906947;911024;919790;934555;934555;943381;943381;952098;960873;987282;1004916;1013747;1031206;1048727;1048727;1048727;1057508;1066293;1075099;1092692;1101506;
138hz;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;43439;
13lackRaven;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;50380;
13Tes;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;3640;
146hz;18;18;18;18;18;18;18;18;18;18;18;0;18;18;18;18;18;18;18;0;18;18;18;18;18;18;0;0;18;18;
159732;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;789;
15h;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;90373;0;0;0;90373;90373;90373;90373;90373;90373;90373;
15HFN;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;120962;
15hh;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;
15Tank;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;82660;
15_Forcestream_;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;1041418;
1640s;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;
16thGarden;69740;69740;69740;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69742;69743;69743;69743;69743;69743;69743;
1702Levi;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;100762;
173IQ;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;2651;
17aq;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;23347;
180hz;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;
1875ryan;111;111;111;111;111;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;
187ner;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;50362;
18O4;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;2132;
194858291919;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;
199g;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;120356;
19ch;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;105;
19l;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;51500;
19victor98;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;292839;
1a2b3g4e;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;870;873;873;873;
1awesomeben1;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;1535;
