date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0001AI1000;1102013;1102013;1102013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00072;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;774557;
00ga;154;154;154;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;156;
014ms;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;789641;
01Ab;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;102386;
01ympus;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;611005;
021ESA;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;339284;
03ODIN;3742484;3753296;3764519;3773927;3794792;3794792;3794792;3817373;3817373;3817373;3851813;3851813;3884201;3894044;3894044;3904673;3915734;3925997;3925997;3945173;3945173;3945173;3945173;3945173;4002986;4002986;4002986;4035617;4035617;4035617;
05_buddy;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;
0686;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;120;
07H;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;
07stevenator;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;1647093;
0987578687500;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;239966;
0asisfrosty;343560;343560;343560;343560;343560;0;0;0;343560;343562;0;0;343562;0;0;343562;343562;343562;0;343562;343562;343562;343562;343562;343562;343562;343562;343562;343562;343562;
0Avenir;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;782153;
0b3lus;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;163634;
0bzi;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;72337292;
0Deemo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0eggs;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;204;
0HeyCat0;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;1873665;
