date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0001AI1000;70766;70766;70766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00072;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;637277;
00ga;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;1033;
014ms;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;130553;
01Ab;54724;54724;54724;54724;54724;54724;54724;54724;54724;54724;54724;54724;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;54727;
01ympus;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;1179;
021ESA;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;321680;
03ODIN;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;821096;
05_buddy;583774;583774;587934;587934;587934;596094;596094;596094;604489;604489;604489;604489;617609;620079;620079;620079;625359;625359;625359;625359;625359;625359;625359;644079;649359;649359;649359;649359;649359;649359;
0686;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;
07H;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12278;12303;12303;12303;12303;12303;12303;12303;
07stevenator;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;372757;
0987578687500;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80182;80190;80190;80190;80193;80193;80193;80193;80193;80193;80193;80193;80193;80193;80193;
