date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0001AI1000;441602;441602;441602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00072;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;
00ga;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;356207;
014ms;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;1863994;
01Ab;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;4669229;
01ympus;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;9721684;
021ESA;645714;645714;645714;645714;645714;645714;645714;716783;746994;746994;783802;821637;821637;821637;821637;821637;821637;821637;821637;867413;867413;867413;867413;867413;867413;867413;867413;867413;867413;867413;
03ODIN;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;2638011;
05_buddy;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;246941;
0686;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;28087;
