date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0001AI1000;371096;371096;371096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
00072;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;88313;
00ga;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;28672;
014ms;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;397471;
01Ab;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;113541;
01ympus;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;1005926;
021ESA;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;259024;
03ODIN;2953451;2960782;2968389;2974769;2988913;2988913;2988913;3004221;3004221;3004221;3027576;3027576;3049533;3056201;3056201;3063408;3070906;3077865;3077865;3090864;3090864;3090864;3090864;3090864;3130063;3130063;3130063;3152192;3152192;3152192;
05_buddy;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;58248;
0686;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;8392;
07H;247594;247594;247594;247594;247594;247594;247594;247594;247594;247594;247594;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;260490;
07stevenator;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;343631;
0987578687500;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;64681;
0asisfrosty;436381;436381;436381;436381;436381;0;0;0;436381;436381;0;0;436381;0;0;436381;436381;436381;0;436381;436381;436381;436381;436381;436381;436381;436381;436381;436381;436381;
0Avenir;4439853;4439853;4439853;4439853;4439853;4439853;4439853;4439853;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;4439860;
0b3lus;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4769032;4875643;5012136;5012136;5012136;5012136;5012136;5012136;5012136;
0bzi;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;2064678;
0Deemo;2611;2611;2611;2611;2611;2611;2611;2611;2611;2611;2611;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;2635;
0eggs;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;2771014;
0HeyCat0;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;934565;
0hSorry;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;122716;
0js;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;18019;
0L8;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;703314;0;0;0;786522;
0ll0;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;98821;
